"name";"color";"tone";"first_photo"
"ИКЖ-1-5";"красный";"";"https://star-tex.ru/media/items/6206615_Image.jpg"
"ИКЖ-1-6";"серебристый";"";"https://star-tex.ru/media/items/6359056_Image.jpg"
"ИКЖ-1-7";"розовый";"ярко-розовый";"https://star-tex.ru/media/items/4872350_Image.jpg"
"ИКЖ-17-1";"черный";"";"https://star-tex.ru/media/items/17432084_Image.jpg"
"ИКЖ-1-8";"черный";"";"https://star-tex.ru/media/items/4872348_Image.jpg"
"ИКЖ-18-1";"черный";"";"https://star-tex.ru/media/items/21_PyspGhU.jpg"
"ИКЖ-1-9";"оранжевый";"";"https://star-tex.ru/media/items/4872352_Image.jpg"
"ИКЖ-19-1";"черный";"";"https://star-tex.ru/media/items/isk01.jpg"
"ИКЖ-20-1";"черный";"";"https://star-tex.ru/media/items/light01.jpg"
"ИКЖ-22-1";"черный";"";"https://star-tex.ru/media/items/f01.jpg"
"ИКЖ-23-1";"коричневый";"какао";"https://star-tex.ru/media/items/1_983q6A4.jpg"
"ИКЖ-23-2";"серый";"";"https://star-tex.ru/media/items/5_k9NaS1f.jpg"
"ИКЖ-23-3";"зеленый";"темно-зеленый";"https://star-tex.ru/media/items/9_vz7DIEp.jpg"
"ИКЖ-23-4";"бордовый";"марсала";"https://star-tex.ru/media/items/13_aFb93Ps.jpg"
"ИКЖ-23-5";"коричневый";"";"https://star-tex.ru/media/items/17_Ulp7VWB.jpg"
"ИКЖ-23-6";"бежевый";"пудровый";"https://star-tex.ru/media/items/24_Yw7eCGJ.jpg"
"ИКЖ-23-7";"черный";"";"https://star-tex.ru/media/items/25_OnXfTgp.jpg"
"ИКЖ-23-8";"молочный";"";"https://star-tex.ru/media/items/29_jW91W05.jpg"
"ИКЖ-23-9";"синий";"темно-синий";"https://star-tex.ru/media/items/33_ulnjnnB.jpg"
"ИКЖ-24-1";"белый";"";"https://star-tex.ru/media/items/14918-001-01.jpg"
"ИКЖ-24-2";"красный";"";"https://star-tex.ru/media/items/14918-002-01.jpg"
"ИКЖ-24-3";"коричневый";"";"https://star-tex.ru/media/items/14918-003-01.jpg"
"ИКЖ-24-4";"синий";"темно-синий";"https://star-tex.ru/media/items/14918-004-01.jpg"
"ИКЖ-24-5";"черный";"";"https://star-tex.ru/media/items/14918-005-01.jpg"
"ИКЖ-25-1";"серебристый";"";"https://star-tex.ru/media/items/6_Q44J6Rs.jpg"
"ИКЖ-25-2";"бронзовый";"";"https://star-tex.ru/media/items/1_WqevbF0.jpg"
"ИКЖ-25-3";"золотистый";"";"https://star-tex.ru/media/items/2_ZZZvIj2.jpg"
"ИКЖ-26-1";"серебристый";"";"https://star-tex.ru/media/items/6_PLJGarz.jpg"
"ИКЖ-26-2";"бежевый";"";"https://star-tex.ru/media/items/11_fIac4oK.jpg"
"ИКЖ-26-3";"бордовый";"темно-бордовый";"https://star-tex.ru/media/items/1_10bygAF.jpg"
"ИКЖ-26-4";"синий";"темно-синий";"https://star-tex.ru/media/items/26_ZZcovhu.jpg"
"ИКЖ-26-5";"черный";"";"https://star-tex.ru/media/items/16_QNoF6Pb.jpg"
"ИКЖ-26-6";"сиреневый";"";"https://star-tex.ru/media/items/21_HfqBrSq.jpg"
"ИКЖ-27-1";"золотистый";"";"https://star-tex.ru/media/items/41_x9FhNBK.jpg"
"ИКЖ-27-2";"серебристый";"";"https://star-tex.ru/media/items/61_w684GHN.jpg"
"ИКЖ-27-3";"золотистый";"желтое золото";"https://star-tex.ru/media/items/51_owOrSgi.jpg"
"ИКЖ-27-4";"розовый";"";"https://star-tex.ru/media/items/56_MPMh469.jpg"
"ИКЖ-27-5";"золотистый";"красное золото";"https://star-tex.ru/media/items/36_kbjP5HM.jpg"
"ИКЖ-27-6";"фиолетовый";"";"https://star-tex.ru/media/items/66_k6thF8o.jpg"
"ИКЖ-27-7";"синий";"электрик";"https://star-tex.ru/media/items/71_d9z02WC.jpg"
"ИКЖ-27-8";"синий";"темно-синий хамелеон";"https://star-tex.ru/media/items/31_T1IwEwi.jpg"
"ИКЖ-27-9";"черный";"";"https://star-tex.ru/media/items/46_pcOO7ZF.jpg"
"ИКЖ-28-1";"серый";"";"https://star-tex.ru/media/items/33_ZEyTtUb.jpg"
"ИКЖ-4-1";"фиолетовый";"сливовый";"https://star-tex.ru/media/items/6347914_Image.jpg"
"ИКЖ-4-10";"оранжевый";"лососевый";"https://star-tex.ru/media/items/6701145_Image.jpg"
"ИКЖ-4-11";"голубой";"темно-голубой";"https://star-tex.ru/media/items/6408101_Image.jpg"
"ИКЖ-4-12";"золотистый";"золото";"https://star-tex.ru/media/items/4705054_Image.jpg"
"ИКЖ-4-13";"желтый";"лимонный";"https://star-tex.ru/media/items/6347884_Image.jpg"
